# word | phonetic | pos. | meaning | example | topic
piecemeal | /'pi:smi:l/ | adv. | 一件一件地, 逐个地, 零碎地；a. 一片一片的, 逐渐的, 零碎的 |  | general
placid | /'plæsid/ |  | a. 平静的, 温和的, 沉着的, 平稳的 |  | society
gist | /dʒist/ | n. | 要点, 要旨, 依据；依据, 要旨, 要点 |  | culture
translucent | /træns'lu:snt/ |  | a. 半透明的, 透明的 |  | general
intelligible | /in'telidʒәbl/ |  | a. 可理解的, 易理解的, 纯概念性的 |  | culture
incipient | /in'sipiәnt/ |  | a. 起初的, 发端的, 初期的；初发的, 初期的 |  | culture
suspense | /sә'spens/ | n. | 悬疑, 焦虑, 悬念, 悬而不决；未定, 暂记 |  | general
genial | /'dʒi:njәl/ |  | a. 和蔼的, 亲切的, 友善的；颏的 |  | culture
negotiable | /ni'gәuʃiәbl/ |  | a. 可磋商的, 可转让的, 可通行的；可流通的, 可转让的 |  | general
resonant | /'rezәnәnt/ |  | a. 共鸣的, 反响的, 洪亮的, 共振的；反响的, 叩响的, 共鸣的, 共振的 |  | general
alphabetical | /.ælfә'betikәl/ |  | a. 依字母顺序的, 字母的 |  | general
lenient | /'li:njәnt/ |  | a. 宽大的, 温和的, 慈悲为怀的；宽大的, 仁慈的 |  | general
appreciable | /ә'pri:ʃiәbl/ |  | a. 可感知的, 可评估的 |  | general
sectional | /'sekʃәnl/ |  | a. 部分的, 部门的, 节的, 截面的；n. 组合式家具 |  | general
malnutrition | /.mælnju:'triʃәn/ | n. | 营养失调, 营养不良；营养不良 |  | health
psychiatry | /sai'kaiәtri/ | n. | 精神病学, 精神病治疗；精神病学 |  | health
rainwater | /'reinwɒ:tә/ | n. | 雨水 |  | general
badminton | /'bædmintәn/ | n. | 羽毛球运动 |  | general
porous | /'pɒ:rәs/ |  | a. 多孔的, 有气孔的, 多孔性的, 能渗；多孔的 |  | general
clockwise | /'klɒkwaiz/ |  | a. 顺时针方向的；adv. 顺时针方向地 |  | general
optic | /'ɒptik/ |  | a. 眼睛的, 视觉的, 光学的；n. 镜片 |  | general
languid | /'læŋgwid/ |  | a. 疲倦的, 无力的, 阴沉的 |  | general
mercantile | /'mә:kәntail/ |  | a. 商业的, 商人的；商业的 |  | economy
thesaurus | /θi'sɒ:rәs/ | n. | 专类辞典, 宝库, 知识宝库, 叙词表, 主；同义词, 同义词典 |  | general
ultraviolet | /.ʌltrә'vaiәlit/ |  | a. 紫外线的；紫外线的 |  | economy
yoga | /'jәugә/ | n. | 瑜珈 |  | culture
reticent | /'retisnt/ |  | a. 无言的, 沉默的, 不情愿的；言不尽意的, 沈默寡言的, 有保留的 |  | health
diligent | /'dilidʒәnt/ |  | a. 勤勉的, 用功的 |  | general
sustenance | /'sʌstinәns/ | n. | 生活资料, 生计, 食物, 支持；营养物, 维持, 支持 |  | health
scrupulous | /'skru:pjulәs/ |  | a. 小心谨慎的, 细心的 |  | general
paraphernalia | /.pærәfә'neiliә/ | n. | 随身用具 |  | culture
obnoxious | /әb'nɒkʃәs/ |  | a. 可憎的, 使人不愉快的, 令人讨厌的 |  | general
dearth | /dә:θ/ | n. | 缺乏, 粮食不足, 饥馑 |  | general
vehement | /'vi:imәnt/ |  | a. 热烈的, 激烈的 |  | general
invincible | /in'vinsәbl/ |  | a. 不能征服的, 无敌的 |  | general
succinct | /sәk'siŋkt/ |  | a. 简洁的, 紧缩的 |  | general
laudable | /'lɒ:dәbl/ |  | a. 值得赞赏的, 值得佩服的；健康的 |  | health
perceptible | /pә'septibl/ |  | a. 可察觉的, 能感觉得到的, 看得见的 |  | general
fastidious | /fæs'tidiәs/ |  | a. 难取悦的, 挑剔的, 苛求的 |  | health
untold | /'ʌn'tәuld/ |  | a. 未说过的, 未透露的, 未加叙述的；未说明的, 未方露的, 未说出的 |  | general
obstinate | /'ɒbstinit/ |  | a. 倔强的, 顽固的, 不让步的 |  | general
nautical | /'nɒ:tikәl/ |  | a. 海上的, 航海的, 船员的 |  | general
exorbitant | /ig'zɒ:bitәnt/ |  | a. 过度的, 过高的, 过分的 |  | general
posthumous | /'pɒstjumәs/ |  | a. 遗腹的, 死后的；遗腹的 |  | general
tenable | /'tenәbl/ |  | a. 可守的, 站得住(脚)的, 合理的 |  | general
palatable | /'pælәtәbl/ |  | a. 美味的, 好吃的, 可口的；适口的, 味美的 |  | general
pathos | /'peiθɒs/ | n. | 伤感力, 感伤, 悲怅, 同情, 偶然因素 |  | general
decrepit | /di'krepit/ |  | a. 衰老的 |  | general
equivocal | /i'kwivәkl/ |  | a. 意义不明确的, 模棱两可的；双关的, 两可的 |  | general
tenacious | /ti'neiʃәs/ |  | a. 紧握的, 固执的, 不屈不挠的, 黏着；坚韧的 |  | general
indelible | /in'delibl/ |  | a. 难以消除的, 不能拭除的, 难忘的 |  | general
ponderous | /'pɒndәrәs/ |  | a. 沉重的, 笨重的, 毫无趣味的, 生硬 |  | work
ruinous | /'ruinәs/ |  | a. 破坏性的, 招致毁灭的 |  | economy
malleable | /'mæliәbl/ |  | a. 有延展性的, 可锻的；可展的, 易适应的 |  | general
fickle | /'fikl/ |  | a. 变幻无常的, 浮燥的, 薄情的 |  | general
excrement | /'ekskrimәnt/ | n. | 排泄, 大便；粪便 |  | environment
humdrum | /'hʌmdrʌm/ |  | a. 平凡的, 单调的, 令人厌烦的；n. 平凡, 单调, 无聊 |  | general
insolent | /'insәlәnt/ | n. | 侮慢无礼的人；a. 粗野的, 无礼的, 侮慢的 |  | general
delectable | /di'lektәbl/ |  | a. 令人快乐的, 美味的, 使人愉快的 |  | general
punctual | /'pәŋktʃuәl/ |  | a. 准时的, 守时的, 点状的, 中肯的；准时的, 不误期的, 准时 |  | general
plaintive | /'pleintiv/ |  | a. 悲哀的, 哀伤的, 伤心的, 表示痛苦 |  | general
hubbub | /'hʌbʌb/ | n. | 吵闹声, 叫嚷声, 混乱 |  | general
insipid | /in'sipid/ |  | a. 乏味的, 清淡的, 难吃的；无味的 |  | general
frugal | /'fru:gәl/ |  | a. 节俭的, 朴素的 |  | environment
magnanimous | /mæg'nænimәs/ |  | a. 宽宏大量的, 有雅量的；气量大的, 宽大的, 高尚的 |  | general
chaste | /tʃeist/ |  | a. 贞洁的, 纯洁的, 朴素的 |  | education
propulsion | /prә'pʌlʃәn/ | n. | 推进, 推进力；前冲, 慌张步态 |  | general
fallible | /'fælәbl/ |  | a. 易错的, 可能犯错的 |  | general
fatuous | /'fætjuәs/ |  | a. 发呆的, 愚笨的 |  | general
steadfast | /'stedfәst/ |  | a. 坚定的, 踏实的, 固定的, 不变的 |  | general
bookshelf | /'bukʃelf/ | n. | 书架 |  | general
tyrannical | /tai'rænikl/ |  | a. 暴虐的, 暴君的, 残暴的 |  | general
ostensible | /ɒs'tensibl/ |  | a. 表面的, 假装的, 看得出的；表面的, 诡称的 |  | general
perpendicular | /.pә:pәn'dikjulә/ | n. | 垂直线, 垂直的位置, 直立(姿势), 刚正；a. 垂直的, 直立的, 陡峭的 |  | general
headstrong | /'hedstrɒŋ/ |  | a. 顽固的, 刚愎的, 任性的 |  | general
migratory | /'maigrәtәri/ |  | a. 迁移的, 流浪的 |  | general
septic | /'septik/ |  | a. 腐败的, 脓毒性的；n. 引起腐败的物质 |  | health
pliable | /'plaiәbl/ |  | a. 易弯的, 柔顺的, 圆通的 |  | general
meteoric | /.mi:ti'ɒrik/ |  | a. 流星的, 疾速的, 大气的 |  | general
paternity | /pә'tә:niti/ | n. | 父亲身份, 父系血统, 创始人(身份), 来；父权, 亲权 |  | general
reverent | /'revәrәnt/ |  | a. 尊敬的, 虔诚的 |  | general
zoology | /zәu'ɒlәdʒi/ | n. | 动物学, 动物区系；动物学 |  | general
sportswear | /'spɒ:tswєә/ | n. | 运动装, 休闲服 |  | general
supersonic | /.sju:pә'sɒnik/ |  | a. 超声波的；超声的 |  | general
horticulture | /.hɒ:ti'kʌltʃә/ | n. | 园艺 |  | general
navigable | /'nævigәbl/ |  | a. 可航行的, 可通船的, 适于航行的；可航行的, 可通航的 |  | general
naught | /nɒ:t/ | n. | 无, 零；a. 无价值的, 无用的 |  | general
congruent | /'kɒŋgruәnt/ |  | a. 适合的, 一致的, 合谐的, 全等的 |  | general
politic | /'pɒlitik/ |  | a. 精明的, 明智的, 策略的 |  | culture
profuse | /prә'fju:s/ |  | a. 很多的, 丰富的, 浪费的, 慷慨的 |  | general
photojournalism | /,fәutәu'dʒә:nәlizm/ | n. | 摄影新闻工作, 摄影报道 |  | work
leprosy | /'leprәsi/ | n. | 麻疯病, 腐败；麻风 |  | health
drowsiness | /'drauzinis/ | n. | 睡意；倦睡, 瞌睡 |  | general
microbiology | /maikrәjbai'ɔlәdʒi/ | n. | 微生物学；微生物学 |  | work
granular | /'grænjulә/ |  | a. 颗粒的, 粒状的；粒状的, 颗粒状的 |  | culture
meteorology | /.mi:tiә'rɒlәdʒi/ | n. | 气象学, 气象状态；气象学 |  | culture
harbor | /'hɑ:bә/ | n. | 港, 避难所；v. 庇护, 藏匿, (使)入港停泊 |  | general
