# word | phonetic | pos. | meaning | example | topic
sputum | /'spju:tәm/ | n. | 唾液, 痰 |  | general
prenatal | /.pri:'neitl/ |  | a. 出生以前的, 孕期的；产前的, 出生前的 |  | general
goa | /'gәuә/ | n. | 西藏原羚, 西藏小羚羊；柯桠粉 |  | general
pantheism | /'pænθi:izm/ | n. | 泛神论, 多神教 |  | general
aeration | /eiә'reiʃәn/ | n. | 通风；换气 |  | general
depersonalization | /di:,p\\\\:sәnәlai'zeiʃәn; -li'z-/ |  | 人格解体 |  | technology
shortcake |  | n. | (英)厚的奶油酥饼, (美)脆饼, 水果松糕 |  | general
collusive | /kә'lu:siv/ |  | a. 共谋的 |  | general
dea |  | abbr. | 数据交换协议（Data Exchange A；禁药取缔机构（Drug Enforcemen |  | technology
corrie | /'kɒri/ | n. | 山侧的圆形凹地 |  | general
exegetical | /,eksi'dʒetikәl/ |  | a. 注释的, 评注的 |  | general
presidio | /pri'sidiәu/ | n. | 要塞, 流放地 |  | general
spectrometry | /spek'trɔmitri/ |  | 分光术, 光谱测定法 |  | general
goalless | /ˈgəʊlləs/ |  | a. （比赛结果）零比零的 |  | general
unsaturated | /'ʌn'sætʃәreitid/ |  | a. 没有饱和的, 不饱和的 |  | environment
borscht | /bɔ:ʃt/ | n. | 罗宋汤(俄罗斯甜菜浓汤) |  | general
sucrose | /'sju:krәus/ | n. | 蔗糖；蔗二糖(即蔗糖) |  | general
sarin | /'sɑ:rin, 'sæ-, zɑ:'ri:n/ |  | 沙林；沙林, 甲氟磷酸异丙酯 |  | general
jihad | /dʒi'hɑ:d/ | n. | 讨伐异教徒, 拥护运动 |  | work
rube | /ru:b/ | n. | 乡巴佬 |  | culture
ara |  | abbr. | 非洲铁路协会（African Railway；机载雷达附件（Airborne Radar |  | general
evaporative | /i'væpәrәtiv/ |  | a. 蒸发的 |  | general
expressionism | /k'spreʃәniz(ә)m/ | n. | 表现主义 |  | culture
planck | /plɑ:ŋk/ | n. | 普朗克（德国物理学家） |  | environment
nonpayment | /nɒn'peimәnt/ | n. | 不支付 |  | general
pincer | /ˈpɪnsə(r)/ | n. | （甲壳动物的）螯；钳子 |  | general
unlabelled |  |  | 无标号的；未标记的 |  | general
