# word | phonetic | pos. | meaning | example | topic
ranchero | /ræn'tʃeәrәu/ | n. | 大农场经营者, 牧场工人 |  | economy
pipkin | /'pipkin/ | n. | 小瓦罐, 小金属锅 |  | culture
pau | /pәj/ | abbr. | 泛美联盟（Pan American Unio |  | general
luminal | /'ljuminæl/ | n. | 鲁米那(镇静刺)；鲁米那 |  | general
rectus | /'rektәs/ |  | 直的, 直肌 |  | general
peristalsis | /.peri'stælsis/ | n. | 蠕动；蠕动 |  | general
unlabeled |  |  | 无标号的；未标记的 |  | general
triforium | /trai'fɔ:riәm/ | n. | 教堂拱门上的三拱式拱廊 |  | general
duomo | /'dwɔ:mɔ:/ | n. | 大教堂, 中央寺院 |  | general
lowercase | /'lәuәkeis/ | n. | 小写字母 |  | general
princesse | /prin'ses/ |  | a. 紧身连衣裙的 |  | general
balboa | /bæl'bәuә/ | n. | 巴波亚(巴拿马货币单位) |  | economy
blackface | /'blækfeis/ | n. | 粗黑体字 |  | general
uda | /ˌju: di: ˈeɪ/ |  | 尿咪二醋酸, 2-氨基丙二酰脲二酸 |  | health
nlp |  | abbr. | 美国街坊贷款计划（neighborhood；神经语言学（Neuro Linguistic |  | culture
matrilineal | /.mætri'linjәl/ |  | a. 母系的；母系的 |  | general
gazillion | /gəˈzɪljən/ | n. | <口>许许多多 |  | general
bonehead | /'bәunhed/ | n. | 笨蛋 |  | general
tryptophan | /'triptәfæn/ | n. | 色氨酸；色氨酸 |  | general
hippocampus | /,hipә'kæmpәs/ | n. | 马头鱼尾的怪兽, 海马 |  | culture
syncretic | /siŋ'kretik/ |  | a. 合一的, 汇合的 |  | culture
biohazard | /,baiәu'hæzәd/ | n. | 生物危害 |  | environment
suborbital | /sʌb'ɔ:bitl/ |  | a. 眼眶下面的, 眼睛下面的, 不满轨道一；眶下的 |  | general
finfish | /'finfiʃ/ | n. | 长须鲸 |  | general
hippocampal | /,hipә'kæmpәl/ |  | 海马的 |  | general
etiological |  |  | a. 病原学, 病因学；病因学的, 病原学的 |  | health
breathalyzer |  |  | 体内酒量测定器 |  | general
angiotensin | /,ændʒiәj'tensin/ | n. | 血管紧张素；血管紧张肽 |  | economy
trypsin | /'tripsin/ | n. | 胰蛋白酶；胰蛋白酶 |  | general
igg | /i^/ | abbr. | 免疫球蛋白G（immunoglobulin |  | health
transcultural | /træns'kʌltʃәrәl,trænz-,trɑ:n-/ |  | a. 跨文化的,适合于多种文化的,交叉文化的 |  | culture
desensitization |  | n. | 脱敏(现象), 减感(作用)；脱敏, 降低感光性 |  | general
pellagra | /pә'leigrә/ | n. | 培拉格病；糙皮病, 蜀黍红斑, 陪拉格 |  | health
brainstem |  | n. | 脑干 |  | culture
grandmotherly | /'^rænd,mʌðәli/ |  | a. 老祖母的, 唠叨的, 溺爱的, 慈祥的 |  | general
sequent | /'si:kwәnt/ | n. | 后果, 随之而来的事；a. 连续的, 结果的 |  | general
hilbert |  | n. | 希尔伯特 |  | general
malabsorption | /,mælæb'sɔ:pʃәn/ | n. | 吸收不良, 养料吸收障碍；吸收障碍 |  | general
metronidazole | /,metrә'naidәzәjl/ |  | 甲硝唑；灭滴灵 |  | economy
ricin | /'raisin/ | n. | 篦麻毒；蓖麻毒 |  | general
saucepot | /'sɔ:spɔt/ | n. | 炖锅,蒸煮锅 |  | general
angiogenesis |  |  | 血管生成, 血管发生 |  | general
appendectomy | /.æpen'dektәmi/ | n. | 阑尾切除术；阑尾切除术 |  | general
snaky | /'sneiki/ |  | a. 蛇的, 蛇一般的, 弯弯曲曲的, 阴险 |  | general
theism | /'θi:izm/ | n. | 有神论, 一神论, 茶中毒；茶中毒 |  | general
letterman | /'letәmæn/ | n. | (得奖的)运动员 |  | education
maglev | /'mæ^lev/ | n. | & adj.磁力悬浮火车(的) |  | technology
chemiluminescence | /,kemi,lu:mi'nesns/ | n. | 化学发光, 化合光；化学发光 |  | general
grandiosity | /.grændi'ɒsiti/ | n. | 宏伟, 夸张；夸大 |  | general
shuffleboard | /'ʃʌflbɒ:d/ | n. | 推圆盘游戏 |  | general
rufous | /'ru:fәs/ |  | a. 红褐色的；暗红色的, 赤发赤脸的 |  | general
sheepherder | /'ʃi:phә:dә/ | n. | 牧羊人 |  | general
gelder |  | n. | 阉割者 |  | general
patella | /pә'telә/ | n. | 膝盖骨, 髌骨；髌, 膝盖骨 |  | general
patency | /'peitnsi/ | n. | 明显；开放, 未闭 |  | general
ultrasonography | /,ʌltrәsә'nɔ^rәfi/ | n. | 超声波检查法 |  | general
cementation | /.si:men'teiʃәn/ | n. | 水泥接合, 黏结, 胶结；粘固 |  | general
cardiorespiratory | /'kɑ:diәuris'paiәrәtәri/ |  | a. 心和肺的, 心脏呼吸的；心脏呼吸的 |  | culture
beardless | /'biәdlis/ |  | a. 无须的, 乳臭未干的 |  | general
cud | /kʌd/ | n. | 反刍的食物 |  | general
proximally |  |  | adv.最近地 |  | culture
lamarckism | /lә'mɑ:kizәm/ |  | 拉马克氏学说(后天特性可能遗传) |  | general
caroler | /kæ'rələr/ | n. | 欢唱（颂歌）的人 |  | general
histologically |  |  | adv.组织学上地, 组织结构上地 |  | work
bogwood | /'bɔ^wjd/ | n. | 埋设在地底下的木材 |  | general
bonito | /bә'ni:tәu/ | n. | 狐鲣 |  | environment
hypertrophic |  |  | a. 肥大的, 过度膨胀的, 肥厚的；肥大的 |  | general
mifepristone | /maɪfprɪs'təʊn/ | n. | 米非司酮（一种堕胎药） |  | health
unicameral | /.ju:ni'kæmәrәl/ |  | a. 一院的, 单院的；单腔的 |  | general
sheldrake | /'ʃeldreik/ | n. | 麻鸭 |  | general
hypoglycemia | /,haipәu^lai'si:miә/ | n. | 低血糖, 血糖过少, 低血糖症；低血糖, 血糖过少 |  | general
retinopathy | /reti'nɔpәθi/ |  | 视网膜病 |  | health
immunofluorescence | /i'mju:nәuflu:ә'resәns/ | n. | 免疫荧光, 免疫荧光法 |  | health
ludo | /'lu:dәu/ | n. | 鲁多(孩童游戏) |  | general
mitotic | /mai'tɒtik/ |  | a. 有丝分裂的；有丝分裂的 |  | general
unabridged | /.ʌnә'bridʒd/ |  | a. 未经删节的, 完整的 |  | general
khedive | /ki'di:v/ | n. | 埃及总督 |  | general
mandibular | /mæn'dibjulә/ |  | a. 颚的；下颌的 |  | general
percutaneous | /,pә:kju(:)'teiniәs, -njәs/ |  | a. 经皮的, 由皮的；经皮的 |  | general
czarist | /'zɑ:rist/ | n. | 沙皇追随者, 拥护独裁政治者；a. 沙皇的 |  | general
sidewinder |  | n. | 侧击, 横击, (美)(非正式)保镖, 花钱 |  | general
leaker |  |  | 漏水铸件, 漏箱 |  | general
ranitidine |  |  | 雷尼替丁；糠硝烯二胺 |  | economy
autofocus | /'ɔ:tәu'fәukәs/ |  | 自动聚焦 |  | technology
atrophic | /æ'trɒfik/ |  | a. 萎缩的；萎缩的 |  | general
felonious | /fә'lәunjәs/ |  | a. 凶恶的, 极恶的, 重罪的 |  | society
vermicelli | /.vә:mi'seli/ | n. | 细面条 |  | general
autologous | /ɔ:'tɔlә^әs/ |  | 自体固有的, 正型结构的 |  | work
endometriosis | /,endәu,mi:tri'әusis/ |  | 子宫内膜异位 |  | general
musicology | /.mju:zi'kɒlәdʒi/ | n. | 音乐学 |  | culture
mononuclear |  | n. | 单核细胞；a. 单核的 |  | general
colicky | /'kɒliki/ |  | a. 绞痛的, 急腹痛的 |  | general
