# word | phonetic | pos. | meaning | example | topic
incommensurability |  |  | 不可通约性, 无公度性 |  | general
astrobiology | /.æstrәubai'ɒlәdʒi/ | n. | 天体生物学；天体生物学 |  | work
loess | /'lәuis/ | n. | 黄土 |  | general
unworried | /ʌnˈwʌrid/ |  | a. 不担忧的, 不受困扰的 |  | general
unrewarded | /,ʌnri'wɔ:did/ |  | a. 未获报答(或报偿、报酬、奖赏)的 |  | general
louver | /'lu:vә(r)/ | n. | 天窗；遮板 |  | general
thuggery | /'θʌ^әri/ | n. | 谋财害命 |  | general
pedigreed | /'pedigri:d/ |  | a. 纯种的, 有系谱的 |  | general
actuation | /.æktʃu'eiʃәn/ | n. | 开动, 激励；激动, 感动 |  | general
statuesque | /.stætju'esk/ |  | a. 雕像一般的, 均称的, 轮廓优美的 |  | general
shortbread | /'ʃɒ:tbred/ | n. | 白脱甜酥饼 |  | general
obstetrical | /ɔbs'tetrikәl/ |  | a. 产科的, 助产的 |  | general
podgy | /'pɒdʒi/ |  | a. 矮胖的 |  | general
gossipy | /'gɒsipi/ |  | a. 喜饶舌的, 漫谈式的 |  | general
bobwhite | /'bɒb'wait/ | n. | 山齿鹑 |  | general
unalterably |  | adv. | 不可改变地, 坚定不移地 |  | general
compactness | /kәm'pæktnis/ | n. | 紧密, 紧密度, 简洁, 坚实；紧致性, 压缩性 |  | general
fungible | /'fʌndʒibl/ |  | a. 可取代的, 代替的；n. 代替物 |  | general
dishwater | /'diʃwɔ:tә/ | n. | 洗碟子的水, (美)(非正式)味道蹩脚的汤 |  | general
brazenly |  | adv. | 厚颜无耻地 |  | general
psychobabble | /,psaikәj'bæbl/ | n. | <美口>心理呓语 |  | health
affability | /.æfә'biliti/ | n. | 和蔼, 谦恭有礼, 亲切 |  | general
telco | /ˈtelkəʊ/ | abbr. | telephone company 电话公司 |  | economy
creaturely | /'kri:tʃәli/ |  | a. 动物的, 生物的 |  | general
yore | /jɔ:, jɔә/ | n. | 从前, 往昔 |  | general
symmetrically | /si'metikli/ | adv. | 匀称地, 对称地 |  | general
sisterly | /'sistәli/ |  | a. 姊妹一般的, 象姊妹的 |  | general
sisterhood | /'sistәhud/ | n. | 姊妹关系, 姊妹之谊, 妇女团体 |  | economy
sickeningly | /'sikniŋli/ | adv. | 令人厌恶地 |  | general
hayseed | /'heisi:d/ | n. | 乡下佬 |  | culture
showmanship | /'ʃәjmәnʃip/ | n. | 安排演出的窍门, 吸引观众的窍门, 经营术 |  | general
plexiglas | /'pleksi^lɑ:s/ | n. | 树脂玻璃(多用以制造飞机座舱罩、镜片等) |  | general
affectively |  | adv. | 情感地 |  | general
suppressive | /sә'presiv/ |  | a. 镇压的, 抑制的 |  | general
lawyerly | /'lɔ:jәli/ |  | a. (=laywerlike) 如律师的 |  | society
lascivious | /lә'siviәs/ |  | a. 好色的；淫荡的, 好色的 |  | general
insubordination |  | n. | 不顺从, 反抗 |  | general
psyllium |  |  | 欧车前 |  | general
hallucinatory | /hәlu:'sineitәri/ |  | a. 幻觉的, 引起幻觉的 |  | general
spareribs | /'speərɪbz/ | n. | 排骨, 小排骨 |  | general
fabulously |  | adv. | 非常(富有的/伟大的) |  | general
busyness | /'bizinis/ | n. | 繁忙, 忙碌 |  | general
quadrillion | /kwɔ'driljәn/ | n. | 千的五次方, 百万之四次方；a. 千之五次方的 |  | general
breezily | /'bri:zili/ | adv. | 吹微风地, 活泼地, 轻松地 |  | general
blandness |  | n. | 爽快；温柔 |  | general
biggish | /'bigiʃ/ |  | a. 较大的, 颇大的 |  | general
advantageously | /,ædvən'teidʒəsli/ | adv. | 有利地；方便地 |  | general
religiousness |  | n. | 虔敬, 笃信 |  | general
spotlessly | /'spɔtlisli/ | adv. | 纯洁地；一尘不染地 |  | general
sombrely | /'sɔmbəli/ | adv. | 昏暗地；阴沉沉地 |  | general
unpersuasive | /ʌnpә'sweisiv/ |  | a. 无说服力的 |  | general
stagecraft | /'steidʒkrɑ:ft; -kræft/ | n. | 演剧技巧 |  | general
rapturously | /'ræptʃərəslɪ/ | adv. | 兴高采烈地, 狂喜地 |  | general
playfulness |  | n. | 活泼快乐, 戏谑；童心 |  | general
penitence | /'penitәns/ | n. | 后悔, 忏悔, 改过；悔罪, 悔过, 忏悔 |  | general
freeware |  |  | 免费软件, 自由软件 |  | technology
optically |  | adv. | 眼睛地；视力地 |  | general
musculature | /'mʌskjulәtʃә/ | n. | 肌肉系统；肌肉系统 |  | technology
boner | /'bәunә/ | n. | 可笑的错误 |  | general
leniently |  | adv. | 温和地；宽大地 |  | general
directionality | /di.rekʃә'nælәti. dai-/ | n. | 定向性, 方向性；方向感知 |  | general
indolence | /'indәlәns/ | n. | 怠惰, 无痛；无痛 |  | general
glittery | /'glitәri/ |  | a. 闪光的, 闪烁的 |  | general
calfskin | /'kɑ:fskin/ | n. | 小牛的皮, 犊皮所制的革 |  | general
expansionism | /ik'spænʃәnizm/ | n. | 膨胀主义, 领土扩张政策；扩张主义, 膨胀主义者 |  | economy
empathetic | /em'pæθik. .empә'θetik/ |  | a. 移情作用的；同感的（等于empathic） |  | general
directorial | /di.rek'tɒ:riәl/ |  | a. 指挥的, 管理的, 主管的 |  | work
destructiveness | /dɪ'strʌktɪvnəs/ |  | 破坏性 |  | general
cotillion | /kә'tiljәn, kәu-/ | n. | 一种类似四对舞伴方块舞的交际舞, 一种不断更 |  | society
talcum | /'tælkәm/ | n. | 滑石；滑石, 滑石粉 |  | general
reductive | /ri'dʌktiv/ |  | a. 减少的, 还原论的；n. 还原剂 |  | general
assimilative | /ә'similәtiv/ |  | a. 吸收的, 同化的 |  | health
possessiveness | /pə'zesɪvnəs/ | n. | 占有, 占有欲 |  | general
ich |  |  | （德）我要 |  | general
attentiveness | /ə'tentivnis/ | n. | 注意力；专注 |  | culture
rumania | /ru(:)'meinjә/ | n. | 罗马尼亚（等于Romania） |  | general
selectman | /si'lektmәn/ | n. | 市政管理委员；成员, 行政委员 |  | work
unidentifiable | /,ʌnai'dentifaiәbl/ |  | a. 无法辨认的,无法识别的,无法鉴定的 |  | general
undersized | /'ʌndә'saizd/ |  | a. 小于一般尺寸的, 不够大的, 小型的；尺寸过小的 |  | general
tragicomic | /,trædʒi'kɔmik/ |  | a. 悲喜剧的, 又悲又喜的 |  | general
groomsman | /'gru:mzmәn/ | n. | 男傧相 |  | general
neutrally | /'nju:trәli/ | adv. | 中立, 保持中立 |  | culture
snit | /snit/ | n. | 发怒, 焦急状态, 心情紧张(或紊乱) |  | general
lecherous | /'letʃәrәs/ |  | a. 好色的, 引起淫欲的, 纵欲的, 淫荡 |  | general
arteriosclerosis | /ɑ:,tiәriәu,skliә'rәusis/ | n. | 动脉硬化；动脉硬化 |  | culture
kingly | /'kiŋli/ |  | a. 国王的, 高贵的, 威严的；王的, 国王的, 适于君王的 |  | general
incompletely | /.inkәm'pli:tli/ | adv. | 不完全地 |  | general
