# word | phonetic | pos. | meaning | example | topic
cottonseed | /'kɔtәnsi:d/ | n. | 棉籽 |  | general
deliberative | /di'libәrәtiv/ |  | a. 慎重的, 审议的 |  | general
mindfully |  | adv. | 谨慎地；注意地 |  | general
haughtiness | /'hɒ:tinis/ | n. | 傲慢, 不逊 |  | general
nightclothes | /'naitklәjðz/ | n. | 睡衣 |  | general
bloodstock | /'blʌdstɒk/ | n. | 纯种马 |  | general
assaultive | /ә'sɔ:ltiv/ |  | a. 攻击, 强击, 突击, 冲击, 袭击 |  | general
utopianism | /ju:'tәupiәnizm/ | n. | 乌托邦思想, 空想的社会改良方案 |  | society
reticular | /ri'tikjulә/ |  | a. 网状的, 错综的；网状的 |  | technology
synergistic |  |  | 协同的, 协作的；协同的, 协作的 |  | health
aggregator | /ˈægrɪgeɪtə(r)/ | n. | 聚合器, 整合者；汇集者, 聚合 |  | general
sundown | /'sʌndaun/ | n. | 日落, 阔边女帽 |  | general
soundman | /'saʊndmæn/ | n. | 负责音响效果的人 |  | general
bookmobile | /'bukmә,bi:l/ | n. | 车上图书馆, 流动图书馆 |  | general
prudery | /'pru:dәri/ | n. | 拘守礼仪, 假正经行为 |  | general
moonshiner | /'mu:nʃainә/ | n. | 烈酒私酿者, 烈酒走私者 |  | general
peevishly | /'pi:vɪʃlɪ/ | adv. | 动不动就发脾气地, 急躁地 |  | general
synovial | /si'nәjviәl, sai-/ |  | a. 滑液的, 滑膜的；滑液的 |  | general
gluteal | /^lu:'tiәl, '^lu:tiәl/ |  | 臀的 |  | general
freakishly | /'fri:kiʃli/ | adv. | 反常地；见异思迁地 |  | general
legibility | /.ledʒi'biliti/ | n. | 易读性, 易识别 |  | general
heavenwards | /'hevәnwәdz/ | adv. | 向天空, 向着天空 |  | general
haywire | /'heiwaiә/ |  | 临时的 |  | general
atrazine | /'ætrәzi:n/ |  | 莠去津 |  | culture
etymological | /.etimә'lɒdʒikl/ |  | a. 词源的, 词源学的 |  | general
equalisation | /ˌi:kwəlaɪ'zeɪʃən/ |  | 同等化, 均等化 |  | general
detente |  | n. | (国际关系)缓和；缓和, 和好 |  | general
holography | /hɒ'lɒgrәfi/ | n. | 全息摄影术；全息照相术 |  | general
obnoxiously | /əb'nɒkʃəslɪ/ | adv. | 令人非常不快地, 引起反感地 |  | general
automata | /ɒ:'tɒmәtә/ |  | pl. 自动机, 自动控制；自动机器 |  | technology
austerely | /ɔ:s'tiəli/ | adv. | 严格地；简朴地 |  | general
ferritin | /'feritәn/ |  | 铁蛋白；铁蛋白 |  | general
odysseus | /ә'disju:s/ | n. | 奥德修斯（荷马史诗《奥德赛》中的主人公；曾指挥特洛伊战争, 献木马计, 使希腊获胜） |  | general
tendonitis | /ten'dəʊnaɪtɪs/ |  | 腱炎 |  | general
caravel | /'kærәvel/ | n. | 轻快帆船 |  | general
hartford | /'hɑ:tfәd/ | n. | 哈特福特（美国康涅狄格州首府） |  | economy
unsanctioned | /'ʌn'sæŋkʃәnd/ |  | a. 未批准的, 未经认可的, 不可接受的；未批准的, 未通过的, 未认可的 |  | general
incantatory | /ɪn'kæntətɔ:rɪ/ |  | a. 咒语的, 魔咒的 |  | general
stoical | /'stәuikәl/ |  | a. 禁欲主义的, 不以苦乐为意的, 坚忍的 |  | general
sous |  | n. | 苏斯（摩洛哥地区） |  | general
smokeless | /'smәuklis/ |  | a. 无烟的；无烟的, 不出烟的 |  | general
lifework | /'laif'w\\\\:k/ | n. | 毕生的事业, 一生中最重要的工作 |  | work
revisionism | /ri'viʒәnizm/ | n. | 修正主义；修正主义 |  | education
tintype | /'tintaip/ | n. | 铁版照相法 |  | general
connotative | /'kɔnәuteitiv, kә'nәutәtiv/ |  | a. 含蓄的, 内涵的 |  | general
permanganate | /pә:'mæŋgәneit/ | n. | 高锰酸盐；高锰酸盐 |  | general
methodologically |  | adv. | 方法学(methodological的变形) |  | general
meritocratic | /ˌmerɪtə'krætɪk/ |  | a. 精英管理的；贤能统治的 |  | work
coherency |  | n. | 粘着, 粘合性, (逻辑上的)紧凑, 一致性；联接, 内聚现象, 内聚力 |  | culture
tailgater |  | n. | 后挡板；下闸门 (tailgate的变形) |  | general
lipless | /'liplis/ |  | a. 没有嘴唇的, (器皿)没有嘴的 |  | general
marabout | /'mærәbu:t/ | n. | 隐士 |  | general
scleroderma | /,skliәrәu'dә:mә/ | n. | 硬皮病；硬皮马勃属(担子菌) |  | health
aniseed | /'ænisi:d/ | n. | 洋茴香；洋茴香 |  | general
punic | /'pju:nik/ |  | a. 古迦太基人的, 没有信义的；n. 迦太基语 |  | culture
bluestem | /'blu:stem/ |  | 须芒草属 |  | general
metonymically |  |  | 转喻地 |  | general
modena | /'mɒdinә/ | n. | 深紫色 |  | general
busywork | /'biziw\\\\:k/ | n. | 为免学生空闲而布置的作业 |  | education
sensuously | /'senʃʊəslɪ/ | adv. | 感觉上 |  | general
flybridge | /f'laɪbrɪdʒ/ |  | （露天）驾驶桥楼 |  | general
primus | /'praimәs/ | n. | 普里默斯炉(一种便携式汽化煤油炉)；a. 第一的 |  | general
chelation | /ki:'leiʃәn/ |  | 螯合作用；螯环化 |  | general
marginalisation | /ˌma:dʒɪnəlaɪ'zeɪʃən/ | n. | 边缘化 |  | society
knowable | /'nәuәbl/ |  | a. 可知的, 能认识的, 易知的 |  | general
hydroelectricity | /'haidrәji,lek'trisәti/ | n. | 水力电气；水力发电 |  | general
holographic | /,hɔlәu'^ræfik/ |  | 全息的 |  | general
dejectedly | /dɪ'dʒektɪdlɪ/ | adv. | 沮丧地, 灰心地 |  | general
cortege | /kɒ:'teiʒ/ | n. | 行列, 一队扈从, 一队随从 |  | general
claptrap | /'klæptræp/ | n. | 哗众取宠的空话(花招)；a. 哗众取宠的 |  | general
jellyroll | /'dʒelɪrəʊl/ | n. | 酱卷心蛋糕 |  | general
inarguable | /in'ɑ:^juәbl/ |  | a. 不容争辩的, 没有疑问的 |  | general
patriotically | /ˌpeɪtriˈɒtɪkli/ | adv. | 爱国地；忧国地 |  | general
natatorium | /.neitә'tɒ:riәm/ | n. | 游泳池 |  | general
newswoman | /'nju:z,wumən/ | n. | 女新闻记者；女编辑 |  | general
unforgettably |  |  | 令人难忘地；不可磨灭地 |  | general
tunable | /'tju:nәbl/ |  | a. 可调音的, 能调谐的, 音调美的 |  | culture
thiamin | /'θaiәmin/ | n. | 硫胺, 维生素B1；硫胺, 维生素B-1 |  | general
stela | /'sti:lә/ | n. | 石碑, 石柱 |  | general
immolation | /.imәu'leiʃәn/ | n. | 宰杀, 献身, 祭物 |  | general
heritable | /'heritәbl/ |  | a. 可继承的, 被遗传的, 可遗传的, 被；可遣传的, 可继承的 |  | general
zeaxanthin | /ziә'zænθin/ |  | 玉米黄质；玉米黄质 |  | general
halibut | /'hælibәt/ | n. | 大比目鱼 |  | general
foreplay | /ˈfɔ:pleɪ/ | n. | 性交前的爱抚, 前奏, 前戏 |  | education
exchangeable | /iks'tʃeindʒәbl/ |  | a. 可交换的, 可兑换的, 可替换的 |  | general
draughtsmanship |  | n. | 制图术 |  | culture
buildup | /'bildʌp/ | n. | 发展, 集结, 增强 |  | general
hemostasis | /hi'mɔstәsis/ | n. | 止血(法)；止血 |  | general
streusel | /'stru:zl,'ʃtrәizәl/ |  | (撒在糕点上的)糖粉奶油细末, 长面包 |  | general
borax | /'bɒ:ræks/ | n. | 硼砂；硼砂 |  | general
coll |  | n. | 胶原；胶质（等于colloid） |  | general
kachina | /keɪt'ʃaɪnə/ | n. | 克奇纳神（霍皮印第安人崇拜的祖灵）；扮成克奇纳神的舞蹈者 |  | economy
dost | /dʌst/ | v. | do的第二人称单数.现在式 |  | general
tympanoplasty | /'timpәnәj,plæsti/ | n. | 中耳整复术 |  | general
coalite | /'kәulait/ | n. | 一种无烟燃料 |  | general
sugarplum | /'ʃugәplæm/ | n. | 小糖果, 甜言蜜语, 甜头 |  | general
maltreatment |  |  | 虐待, 粗暴对待 |  | general
lactation | /læk'teiʃәn/ | n. | 分泌乳汁, 授乳, 哺乳；哺乳, 授乳, 泌乳 |  | general
dramaturgy | /'dræmәtә:dʒi/ | n. | 戏剧作法, 演出法 |  | culture
expressible | /ik'spresәbl/ |  | a. 可表现的, 可榨出的 |  | general
infotainment | /ˌɪnfəʊˈteɪnmənt/ | n. | 信息娱乐片 |  | general
fenugreek | /'fenjugri:k/ | n. | 胡芦巴；胡芦巴 |  | general
deferentially | /ˌdefə'renʃəlɪ/ | adv. | 表示敬意地, 谦恭地 |  | general
macula | /'mækjulә/ | n. | 斑点, 斑疵点, 黑点, 太阳黑子, 斑疹；斑 |  | culture
nattily | /'nætili/ | adv. | 整洁地, 帅地 |  | culture
steadfastness | /s'tedfɑ:stn'es/ | n. | 坚定, 稳当 |  | general
revocable | /'revәkәbl/ |  | a. 可废止的, 可取消的；可撤销的, 可废除的 |  | general
cordite | /'kɒ:dait/ | n. | 无烟线状火药；柯达炸药 |  | general
annulus | /'ænjulәs/ | n. | 环, 环形物, 体环；环形缝 |  | culture
torah | /'tәurә/ | n. | 教导, 律法, <<旧约>>之首五卷；教训, 神论, 法律 |  | society
umbilicus | /ʌm'bilikәs/ | n. | 脐, 中心；脐 |  | general
anticoagulation | /'æntɪkəʊ,æɡjʊ'leɪʃən/ | n. | 抗凝作用 |  | health
triggerman | /'tri^әmæn, mәn/ | n. | 刺客, 保镖 |  | work
meatus | /mi'eitәs/ | n. | 口, 道；道, 口 |  | general
amma | /'ʌmɑ:/ |  | 美国-墨西哥医学协会 |  | general
palaeontology | /,pæliɔn'tɔlәdʒi/ | n. | 古生物学 |  | work
wheatgrass | /'hwi:tgræs/ | n. | 麦草, 冰草 |  | general
doublespeak | /'dʌblspi:k/ | n. | 欺人之谈, 故弄玄虚的言词 |  | culture
hogback | /'hɒgbæk/ | n. | 拱起的背部, 鬃丘 |  | general
twofer | /'tu:fә(r)/ | n. | 出一份价钱可购得两份的货 |  | economy
nur |  | abbr. | 全国铁路工人联合会（National Uni |  | general
vasoconstriction | /,væsәukәn'strikʃәn/ | n. | 血管缩小；血管收缩 |  | general
entombment | /en'tu:mmənt/ | n. | 埋葬, 埋没 |  | general
dumbwaiter | /dʌm'weɪtər/ |  | <美>（楼上下之间）送饭菜的小升降机；送菜升降机 |  | general
greenroom | /'^ri:nru:m/ | n. | 演员休息室 |  | general
postulation | /.pɒstʃә'leiʃәn/ | n. | 假定；假定, 要求 |  | general
manipulable | /mә'nipjulәbl/ |  | a. 可以操作的, 可操纵自如的 |  | work
acetone | /'æsitәun/ | n. | 丙酮；丙酮 |  | general
decolletage | /deikɔl'tɑ:ʒ/ | n. | <法>低领,袒胸露背的衣服 |  | general
brainiac | /'breɪnɪæk/ | n. | 才智非凡的人, 智力超群的人 |  | general
infanticide | /in'fæntisaid/ | n. | 杀婴；杀婴, 杀婴犯 |  | general
muscadine | /'mʌskәdain/ | n. | 圆叶葡萄 |  | general
frankincense | /'fræŋkin.sens/ | n. | 乳香；乳香 |  | general
troika | /'trɒikә/ | n. | 三头马车 |  | general
dualistic | /dju:ә'listik/ |  | a. 二元的；两重的, 二元论的 |  | general
omicron | /ɒ'maikrɒn/ | n. | 希腊字母第15字 |  | general
medicinally |  | adv. | 用药物, 当做药 |  | health
extrication | /.ekstri'keiʃәn/ | n. | 救出, 解脱, 游离 |  | general
striptease | /'stripti:z/ | n. | 脱衣舞；vi. 跳脱衣舞 |  | culture
sternum | /'stә:nәm/ | n. | 胸骨, 胸片, 胸板；胸骨 |  | culture
penetrative | /'penitreitiv/ |  | a. 渗透的, 有渗透力的, 彻骨的, 敏锐 |  | general
billingsgate | /'biliŋz^eit/ | n. | 粗俗话, 下流话 |  | general
abb | /æb/ | n. | 等外羊毛, 纬纱；积木块阵列 |  | society
unsinkable | /'ʌn'siŋkәbl/ |  | a. 不会下沉的, 不会沉底的 |  | general
unworthiness | /.ʌn'wә:ðinis/ | n. | 无价值, 不配得到, 不值得尊敬 |  | general
deactivation | /di:ækti'veiʃәn/ |  | 释放, 不激活；失活 |  | general
rancorous | /'ræŋkәrәs/ |  | a. 深恨的, 怀恶意的 |  | general
inextricable | /in'ekstrәkәbl/ |  | a. 逃脱不掉的, 解不开的, 无法解决的 |  | general
inconsistently | /ˌɪnkən'sɪstəntlɪ/ | adv. | 不一致地 |  | general
horseplay | /'hɒ:splei/ | n. | 喧闹的嬉戏 |  | general
hackberry | /'hækberi/ | n. | 朴树, 朴树果, 朴树材 |  | general
guff | /gʌf/ | n. | 胡说, 废话 |  | general
gorgeously |  | adv. | 华美地；辉煌地 |  | general
frivolously | /'frɪvələslɪ/ | adv. | 轻浮地, 愚昧地 |  | general
madrasa |  |  | 马德拉沙（穆斯林高等教育机构） |  | education
cobblestoned | /'kɒbəl,stəʊnd/ |  | a. 圆石铺砌的 |  | general
fickleness | /'fɪklnəs/ | n. | 易变；无常 |  | general
bachelorhood | /'bætʃәlәhud/ | n. | 独身, 独身生活 |  | general
credibly | /'kredәbli/ | adv. | 可信地, 确实有效地 |  | general
marabou | /'mærәbu:/ | n. | 秃鹳, 秃鹳毛 |  | general
percolation | /.pә:kә'leiʃәn/ | n. | 过滤, 浸透；渗透 |  | general
lux | /lʌks/ | n. | 勒克斯；勒, 米烛光 |  | general
wraparound | /'ræpәraund/ |  | a. 裹身的, 卷上的, 全景的；n. 缠在身上的衣服 |  | general
untended | /'ʌn'tendid/ |  | a. 未受到照顾的, 被忽略了的 |  | general
flatulent | /'flætʃәlәnt/ |  | a. 肠胃气胀的, 空虚的, 浮夸的；气胀的 |  | general
unpleasing | /.ʌn'pli:ziŋ/ |  | a. 使人不愉快的 |  | general
unoriginal | /'ʌnә'ridʒәnәl/ |  | a. 非原先的, 无独创精神的, 模仿的 |  | health
gunnysack | /'^ʌnisæk/ | n. | 黄麻袋 |  | general
unimportance | /.ʌnim'pɒ:tns/ | n. | 不重要, 不足道 |  | general
unadventurous | /ˌʌnədˈventʃərəs/ |  | a. 没有危险的, 不冒险的 |  | general
thickset | /'θik'set/ |  | a. 粗壮的, 繁茂的；n. 丛林, 密篱, 厚斜纹布 |  | general
tamely | /'teimli/ | adv. | 驯服地, 温顺地, 没有骨气地 |  | general
squashy | /'skwɒʃi/ |  | a. 又湿又软的, 柔软的, 熟透的 |  | general
scatty | /'skæti/ |  | a. 轻率的, 愚蠢的 |  | work
underactive | /ʌndə'ræktɪv/ |  | a. 不够活跃的 |  | general
religiosity | /ri.lidʒi'ɒsiti/ | n. | 笃信, 虚伪信仰, 虔诚, 宗教狂 |  | culture
birchbark | /'bɜ:tʃbɑ:k/ |  | 桦皮舟 |  | general
pronto | /'prɒntәu/ | adv. | 很快地, 马上 |  | general
piercingly | /'pɪəsɪŋlɪ/ | adv. | 刺透地, 感动地 |  | general
laugher | /'lɑ:fә(r);'læf-/ | n. | 笑者,哄笑者, 好笑的一边倒比赛 |  | general
bellyache | /'belieik/ | n. | 腹痛；vi. 无故抱怨 |  | general
drearily | /'driәrili/ | adv. | 沉寂地, 令人沮丧地, 令人厌倦地 |  | general
describable | /di'skraibәbl/ |  | a. 可记述的, 可描写的 |  | general
subluxation | /,sʌblʌk'seiʃən/ |  | 不全脱位, 半脱位 |  | culture
giardiasis | /dʒiɑ:'daiәsis/ |  | 贾第虫病, 梨形鞭毛虫病 |  | general
craftily | /'kræftili/ | adv. | 狡猾地, 诡诈地, 熟练地 |  | culture
chummy | /'tʃʌmi/ |  | a. 亲密的, 很友好的 |  | general
charmless | /'tʃɑ:mlis/ |  | a. 无魅力的, 无吸引力的, 不美的 |  | general
triplex | /'tripleks/ |  | a. 三重的；n. 三倍的东西, 三层楼建筑物, 三拍子 |  | culture
antipathetic | /.æntipә'θetik/ |  | a. 生来厌恶的, 怀有反感的, 引起反感的；相憎的 |  | general
abysmally | /ə'bɪzməlɪ/ | adv. | 极糟地；可怕地 |  | general
weirdness |  | n. | 命运；不可思议 |  | general
weightlessness |  |  | 失重；失重 |  | general
exclusivism | /iks'klu:sivizәm/ | n. | 排他主义, 排外主义 |  | general
unsuitably | /ʌn'sju:təbli/ | adv. | 不适当地；不配地 |  | general
overlarge | /əʊvə'lɑ:dʒ/ |  | a. 过大的, 超大的 |  | general
unmemorable | /,ʌn'memәrәbl/ |  | a. 不值得纪念的,不值得注意的,不容易记住 |  | general
lymphedema | /,limfi'di:mә/ |  | 淋巴水肿 |  | general
unhampered | /'ʌn'hæmpәd/ |  | a. 无妨碍的, 无阻碍的 |  | general
uneventfully | /ˌʌnɪ'ventfəlɪ/ | adv. | 太平无事地 |  | general
undemonstrative | /.ʌndi'mɒstrәtiv/ |  | a. 不露声色的, 矜持寡言的 |  | general
